Designator,Mid X,Mid Y,Rotation,Layer
C1,145.32125,-67.86,0.0,bottom
C2,126.27125,-67.86,0.0,bottom
C3,107.22125,-67.86,0.0,bottom
C4,124.8,-49.825,270.0,bottom
C5,141.194999,-63.38,0.0,bottom
D1,150.62625,-68.61,0.0,bottom
D2,131.57625,-68.61,0.0,bottom
D3,112.52625,-68.61,0.0,bottom
D4,117.6,-68.61,270.0,bottom
D5,136.65,-68.61,270.0,bottom
D6,155.7,-68.61,270.0,bottom
R1,151.851992,-61.051992,45.0,bottom
SW1,112.52625,-62.02,0.0,top
SW2,131.57625,-62.02,0.0,top
SW3,150.62625,-62.02,0.0,top
SW5,111.73,-47.2,0.0,top
U1,146.28875,-47.133001,90.0,bottom
U2,122.59,-47.09,90.0,top
